shelfmark	issued	titles	bundles	no bundle	quota bundles	rvk	no rvk	quota rvk
GEH	2014	1	1	0	100,00	1	0	100,00
GEH	2011	2	2	0	100,00	2	0	100,00
GEH	2010	1	1	0	100,00	1	0	100,00
GEK	2015	1	1	0	100,00	0	1	0,00
GEK	2014	1	1	0	100,00	1	0	100,00
GEK	2013	1	1	0	100,00	1	0	100,00
GEK	2010	4	4	0	100,00	4	0	100,00
GEM	2017	1	1	0	100,00	1	0	100,00
GEN	2017	4	4	0	100,00	4	0	100,00
GEN	2016	1	1	0	100,00	1	0	100,00
GEN	2014	2	2	0	100,00	2	0	100,00
GEN	2012	2	2	0	100,00	2	0	100,00
GEN	2011	1	1	0	100,00	1	0	100,00
GEN	2010	1	1	0	100,00	1	0	100,00
GEP	2017	1	1	0	100,00	1	0	100,00
GEP	2016	1	1	0	100,00	1	0	100,00
GEP	2015	1	1	0	100,00	1	0	100,00
GEP	2012	1	1	0	100,00	1	0	100,00
GEP	2011	2	2	0	100,00	2	0	100,00
GEP	2010	2	2	0	100,00	2	0	100,00
GEQ	2018	4	4	0	100,00	4	0	100,00
GEQ	2017	7	7	0	100,00	7	0	100,00
GEQ	2016	2	2	0	100,00	2	0	100,00
GEQ	2015	4	4	0	100,00	4	0	100,00
GEQ	2014	3	3	0	100,00	3	0	100,00
GEQ	2013	2	2	0	100,00	2	0	100,00
GEQ	2012	3	3	0	100,00	3	0	100,00
GEQ	2011	6	6	0	100,00	6	0	100,00
GEQ	2010	9	9	0	100,00	8	1	88,89
GET	2014	2	2	0	100,00	2	0	100,00
GET	2012	6	2	4	33,33	2	4	33,33
GET	2011	2	2	0	100,00	2	0	100,00
GET	2010	5	5	0	100,00	2	3	40,00
GEU	2015	4	4	0	100,00	4	0	100,00
GEU	2014	3	2	1	66,67	2	1	66,67
GEU	2012	9	8	1	88,89	8	1	88,89
GEU	2011	17	11	6	64,71	11	6	64,71
GEU	2010	2	2	0	100,00	2	0	100,00
GO	2018	1	1	0	100,00	1	0	100,00
GO	2017	5	5	0	100,00	5	0	100,00
GO	2016	5	4	1	80,00	4	1	80,00
GO	2015	8	8	0	100,00	8	0	100,00
GO	2014	18	9	9	50,00	9	9	50,00
GO	2013	18	11	7	61,11	11	7	61,11
GO	2012	4	4	0	100,00	4	0	100,00
GO	2011	10	10	0	100,00	10	0	100,00
GO	2010	28	17	11	60,71	17	11	60,71
GOA	2018	1	1	0	100,00	1	0	100,00
GOA	2017	1	1	0	100,00	1	0	100,00
GOA	2015	1	1	0	100,00	1	0	100,00
GOA	2014	9	0	9	0,00	0	9	0,00
GOA	2013	7	0	7	0,00	0	7	0,00
GOA	2011	1	1	0	100,00	1	0	100,00
GOA	2010	10	2	8	20,00	2	8	20,00
GOB	2012	1	1	0	100,00	1	0	100,00
GOC	2016	1	1	0	100,00	1	0	100,00
GOC	2014	1	1	0	100,00	1	0	100,00
GOC	2011	1	1	0	100,00	1	0	100,00
GOD	2015	3	3	0	100,00	3	0	100,00
GOD	2014	4	4	0	100,00	4	0	100,00
GOD	2013	3	3	0	100,00	3	0	100,00
GOD	2012	1	1	0	100,00	1	0	100,00
GOD	2011	4	4	0	100,00	4	0	100,00
GOD	2010	4	3	1	75,00	3	1	75,00
GOE	2017	3	3	0	100,00	3	0	100,00
GOE	2016	3	3	0	100,00	3	0	100,00
GOE	2015	2	2	0	100,00	2	0	100,00
GOE	2013	2	2	0	100,00	2	0	100,00
GOE	2011	4	4	0	100,00	4	0	100,00
GOE	2010	3	3	0	100,00	3	0	100,00
GOG	2015	1	1	0	100,00	1	0	100,00
GOG	2010	2	2	0	100,00	2	0	100,00
GOH	2014	1	1	0	100,00	1	0	100,00
GOH	2013	1	1	0	100,00	1	0	100,00
GOH	2012	1	1	0	100,00	1	0	100,00
GOH	2010	2	2	0	100,00	2	0	100,00
GOI	2017	1	1	0	100,00	1	0	100,00
GOI	2016	1	0	1	0,00	0	1	0,00
GOI	2014	2	2	0	100,00	2	0	100,00
GOI	2013	4	4	0	100,00	4	0	100,00
GOI	2010	5	3	2	60,00	3	2	60,00
GON	2013	1	1	0	100,00	1	0	100,00
GOP	2010	1	1	0	100,00	1	0	100,00
GOR	2015	1	1	0	100,00	1	0	100,00
GOR	2012	1	1	0	100,00	1	0	100,00
GOR	2010	1	1	0	100,00	1	0	100,00
GOS	2014	1	1	0	100,00	1	0	100,00
JO	2018	24	20	4	83,33	20	4	83,33
JO	2017	30	28	2	93,33	28	2	93,33
JO	2016	47	44	3	93,62	44	3	93,62
JO	2015	67	64	3	95,52	64	3	95,52
JO	2014	57	50	7	87,72	50	7	87,72
JO	2013	91	87	4	95,60	86	5	94,51
JO	2012	79	76	3	96,20	75	4	94,94
JO	2011	105	100	5	95,24	99	6	94,29
JO	2010	109	106	3	97,25	106	3	97,25
JOA	2015	1	1	0	100,00	1	0	100,00
JOA	2013	1	1	0	100,00	1	0	100,00
JOA	2012	1	1	0	100,00	1	0	100,00
JOA	2010	1	1	0	100,00	1	0	100,00
JOB	2018	1	1	0	100,00	1	0	100,00
JOB	2017	2	2	0	100,00	2	0	100,00
JOB	2015	3	3	0	100,00	3	0	100,00
JOB	2012	3	3	0	100,00	3	0	100,00
JOB	2011	1	1	0	100,00	1	0	100,00
JOB	2010	1	1	0	100,00	1	0	100,00
JOD	2018	1	0	1	0,00	0	1	0,00
JOD	2017	2	2	0	100,00	2	0	100,00
JOD	2016	3	3	0	100,00	3	0	100,00
JOD	2015	6	6	0	100,00	6	0	100,00
JOD	2014	4	3	1	75,00	3	1	75,00
JOD	2013	1	0	1	0,00	0	1	0,00
JOE	2018	1	1	0	100,00	1	0	100,00
JOE	2017	1	1	0	100,00	1	0	100,00
JOE	2016	4	4	0	100,00	4	0	100,00
JOE	2015	2	2	0	100,00	2	0	100,00
JOE	2013	2	2	0	100,00	2	0	100,00
JOE	2011	1	1	0	100,00	1	0	100,00
JOF	2017	1	1	0	100,00	1	0	100,00
JOF	2013	1	1	0	100,00	1	0	100,00
JOF	2012	1	1	0	100,00	1	0	100,00
JOH	2018	5	4	1	80,00	4	1	80,00
JOH	2017	10	10	0	100,00	10	0	100,00
JOH	2016	10	9	1	90,00	9	1	90,00
JOH	2015	24	23	1	95,83	23	1	95,83
JOH	2014	12	11	1	91,67	11	1	91,67
JOH	2013	22	21	1	95,45	21	1	95,45
JOH	2012	18	18	0	100,00	18	0	100,00
JOH	2011	28	26	2	92,86	26	2	92,86
JOH	2010	27	27	0	100,00	27	0	100,00
JOK	2018	7	6	1	85,71	6	1	85,71
JOK	2017	4	3	1	75,00	3	1	75,00
JOK	2016	10	9	1	90,00	9	1	90,00
JOK	2015	12	11	1	91,67	11	1	91,67
JOK	2014	14	10	4	71,43	10	4	71,43
JOK	2013	26	24	2	92,31	24	2	92,31
JOK	2012	23	20	3	86,96	20	3	86,96
JOK	2011	34	32	2	94,12	31	3	91,18
JOK	2010	25	23	2	92,00	23	2	92,00
JOL	2018	3	3	0	100,00	3	0	100,00
JOL	2017	6	6	0	100,00	6	0	100,00
JOL	2016	14	14	0	100,00	14	0	100,00
JOL	2015	8	8	0	100,00	8	0	100,00
JOL	2014	13	13	0	100,00	13	0	100,00
JOL	2013	10	10	0	100,00	10	0	100,00
JOL	2012	8	8	0	100,00	8	0	100,00
JOL	2011	14	14	0	100,00	14	0	100,00
JOL	2010	21	21	0	100,00	21	0	100,00
JOM	2018	4	3	1	75,00	3	1	75,00
JOM	2017	3	2	1	66,67	2	1	66,67
JOM	2016	5	4	1	80,00	4	1	80,00
JOM	2015	9	8	1	88,89	8	1	88,89
JOM	2014	12	11	1	91,67	11	1	91,67
JOM	2013	14	14	0	100,00	13	1	92,86
JOM	2012	23	23	0	100,00	23	0	100,00
JOM	2011	16	15	1	93,75	15	1	93,75
JOM	2010	20	19	1	95,00	19	1	95,00
JOO	2018	2	2	0	100,00	2	0	100,00
JOO	2017	1	1	0	100,00	1	0	100,00
JOO	2015	1	1	0	100,00	1	0	100,00
JOO	2014	1	1	0	100,00	1	0	100,00
JOO	2013	6	6	0	100,00	6	0	100,00
JOO	2012	2	2	0	100,00	1	1	50,00
JOO	2011	2	2	0	100,00	2	0	100,00
JOO	2010	8	8	0	100,00	8	0	100,00
JOR	2016	1	1	0	100,00	1	0	100,00
JOR	2015	1	1	0	100,00	1	0	100,00
JOR	2014	1	1	0	100,00	1	0	100,00
JOR	2013	8	8	0	100,00	8	0	100,00
JOR	2011	9	9	0	100,00	9	0	100,00
JOR	2010	6	6	0	100,00	6	0	100,00
K	2018	44	43	1	97,73	43	1	97,73
K	2017	76	76	0	100,00	72	4	94,74
K	2016	107	97	10	90,65	97	10	90,65
K	2015	105	97	8	92,38	96	9	91,43
K	2014	105	95	10	90,48	93	12	88,57
K	2013	100	90	10	90,00	89	11	89,00
K	2012	115	112	3	97,39	110	5	95,65
K	2011	155	141	14	90,97	139	16	89,68
K	2010	160	134	26	83,75	132	28	82,50
KB	2017	1	1	0	100,00	1	0	100,00
KB	2016	1	1	0	100,00	1	0	100,00
KB	2011	1	1	0	100,00	1	0	100,00
KB	2010	1	1	0	100,00	1	0	100,00
KC	2018	9	9	0	100,00	9	0	100,00
KC	2017	12	12	0	100,00	12	0	100,00
KC	2016	17	13	4	76,47	13	4	76,47
KC	2015	17	17	0	100,00	17	0	100,00
KC	2014	11	11	0	100,00	11	0	100,00
KC	2013	11	7	4	63,64	7	4	63,64
KC	2012	21	21	0	100,00	21	0	100,00
KC	2011	18	18	0	100,00	17	1	94,44
KC	2010	17	15	2	88,24	15	2	88,24
KD	2018	2	1	1	50,00	1	1	50,00
KD	2017	5	5	0	100,00	5	0	100,00
KD	2016	4	4	0	100,00	4	0	100,00
KD	2015	3	3	0	100,00	3	0	100,00
KD	2014	4	4	0	100,00	4	0	100,00
KD	2013	6	6	0	100,00	6	0	100,00
KD	2012	4	4	0	100,00	4	0	100,00
KD	2011	7	5	2	71,43	5	2	71,43
KD	2010	3	3	0	100,00	3	0	100,00
KE	2018	3	3	0	100,00	3	0	100,00
KE	2016	1	1	0	100,00	1	0	100,00
KE	2011	2	1	1	50,00	1	1	50,00
KF	2018	9	9	0	100,00	9	0	100,00
KF	2017	26	26	0	100,00	25	1	96,15
KF	2016	33	31	2	93,94	31	2	93,94
KF	2015	32	30	2	93,75	30	2	93,75
KF	2014	33	32	1	96,97	30	3	90,91
KF	2013	32	32	0	100,00	32	0	100,00
KF	2012	37	35	2	94,59	35	2	94,59
KF	2011	53	46	7	86,79	45	8	84,91
KF	2010	60	53	7	88,33	52	8	86,67
KG	2018	2	2	0	100,00	2	0	100,00
KG	2017	8	8	0	100,00	7	1	87,50
KG	2016	11	11	0	100,00	11	0	100,00
KG	2015	10	8	2	80,00	8	2	80,00
KG	2014	10	8	2	80,00	8	2	80,00
KG	2013	11	11	0	100,00	11	0	100,00
KG	2012	11	11	0	100,00	11	0	100,00
KG	2011	15	13	2	86,67	13	2	86,67
KG	2010	12	9	3	75,00	8	4	66,67
KHa	2011	1	1	0	100,00	1	0	100,00
KHa	2010	1	1	0	100,00	1	0	100,00
KJ	2018	1	1	0	100,00	1	0	100,00
KJ	2017	2	2	0	100,00	2	0	100,00
KJ	2016	1	1	0	100,00	1	0	100,00
KJ	2015	1	1	0	100,00	1	0	100,00
KJ	2013	1	1	0	100,00	1	0	100,00
KJ	2012	1	1	0	100,00	1	0	100,00
KJ	2011	3	3	0	100,00	3	0	100,00
KK	2017	2	2	0	100,00	2	0	100,00
KK	2016	2	2	0	100,00	2	0	100,00
KK	2011	1	1	0	100,00	1	0	100,00
KK	2010	2	2	0	100,00	2	0	100,00
KL	2018	1	1	0	100,00	1	0	100,00
KL	2017	1	1	0	100,00	1	0	100,00
KL	2016	2	2	0	100,00	2	0	100,00
KL	2015	1	1	0	100,00	1	0	100,00
KL	2014	3	3	0	100,00	3	0	100,00
KL	2013	3	2	1	66,67	2	1	66,67
KL	2012	2	2	0	100,00	2	0	100,00
KL	2011	7	7	0	100,00	7	0	100,00
KL	2010	1	1	0	100,00	1	0	100,00
KM	2015	1	1	0	100,00	1	0	100,00
KM	2011	1	1	0	100,00	1	0	100,00
KN	2011	1	1	0	100,00	1	0	100,00
KOr	2010	1	1	0	100,00	1	0	100,00
KPa	2016	1	1	0	100,00	1	0	100,00
KPa	2011	1	1	0	100,00	1	0	100,00
KPa	2010	1	1	0	100,00	1	0	100,00
KPc	2016	1	1	0	100,00	1	0	100,00
KPc	2014	2	1	1	50,00	1	1	50,00
KPc	2013	2	2	0	100,00	2	0	100,00
KPc	2012	2	2	0	100,00	2	0	100,00
KPc	2010	2	2	0	100,00	2	0	100,00
KPs	2018	1	1	0	100,00	1	0	100,00
KPs	2017	1	1	0	100,00	1	0	100,00
KPs	2013	1	1	0	100,00	1	0	100,00
KPs	2011	1	1	0	100,00	1	0	100,00
KQ	2018	3	3	0	100,00	3	0	100,00
KQ	2017	5	5	0	100,00	3	2	60,00
KQ	2016	7	7	0	100,00	7	0	100,00
KQ	2015	6	5	1	83,33	5	1	83,33
KQ	2014	6	6	0	100,00	6	0	100,00
KQ	2013	5	2	3	40,00	2	3	40,00
KQ	2012	12	11	1	91,67	10	2	83,33
KQ	2011	8	8	0	100,00	8	0	100,00
KQ	2010	9	7	2	77,78	7	2	77,78
KR	2016	1	1	0	100,00	1	0	100,00
KR	2014	1	1	0	100,00	1	0	100,00
KR	2013	2	2	0	100,00	2	0	100,00
KR	2012	1	1	0	100,00	1	0	100,00
KR	2010	1	1	0	100,00	1	0	100,00
KS	2017	1	1	0	100,00	1	0	100,00
KS	2016	4	4	0	100,00	4	0	100,00
KS	2015	1	1	0	100,00	1	0	100,00
KS	2014	7	7	0	100,00	7	0	100,00
KS	2013	5	4	1	80,00	4	1	80,00
KS	2012	2	2	0	100,00	2	0	100,00
KS	2011	3	2	1	66,67	2	1	66,67
KS	2010	2	1	1	50,00	1	1	50,00
KU	2018	3	3	0	100,00	3	0	100,00
KU	2017	3	3	0	100,00	3	0	100,00
KU	2016	1	1	0	100,00	1	0	100,00
KU	2015	3	1	2	33,33	1	2	33,33
KU	2014	3	2	1	66,67	2	1	66,67
KU	2013	1	1	0	100,00	1	0	100,00
KU	2012	1	1	0	100,00	1	0	100,00
KU	2011	7	7	0	100,00	7	0	100,00
KU	2010	4	4	0	100,00	4	0	100,00
KV	2018	3	3	0	100,00	3	0	100,00
KV	2017	2	2	0	100,00	2	0	100,00
KV	2016	7	7	0	100,00	7	0	100,00
KV	2015	3	3	0	100,00	3	0	100,00
KV	2014	4	4	0	100,00	4	0	100,00
KV	2013	3	3	0	100,00	3	0	100,00
KV	2012	2	2	0	100,00	2	0	100,00
KV	2011	2	2	0	100,00	2	0	100,00
KV	2010	10	8	2	80,00	8	2	80,00
KW	2018	5	5	0	100,00	5	0	100,00
KW	2017	4	4	0	100,00	4	0	100,00
KW	2016	9	9	0	100,00	9	0	100,00
KW	2015	11	11	0	100,00	11	0	100,00
KW	2014	7	7	0	100,00	7	0	100,00
KW	2013	3	3	0	100,00	3	0	100,00
KW	2012	5	5	0	100,00	5	0	100,00
KW	2011	8	8	0	100,00	8	0	100,00
KW	2010	9	7	2	77,78	7	2	77,78
KX	2018	2	2	0	100,00	2	0	100,00
KX	2017	2	2	0	100,00	2	0	100,00
KX	2016	1	0	1	0,00	0	1	0,00
KX	2015	10	10	0	100,00	9	1	90,00
KX	2014	9	6	3	66,67	6	3	66,67
KX	2013	11	10	1	90,91	10	1	90,91
KX	2012	6	6	0	100,00	6	0	100,00
KX	2011	9	8	1	88,89	8	1	88,89
KX	2010	11	7	4	63,64	7	4	63,64
KZSK	2017	1	1	0	100,00	1	0	100,00
KZSK	2016	3	0	3	0,00	0	3	0,00
KZSK	2015	6	5	1	83,33	5	1	83,33
KZSK	2014	5	3	2	60,00	3	2	60,00
KZSK	2013	3	3	0	100,00	2	1	66,67
KZSK	2012	8	8	0	100,00	7	1	87,50
KZSK	2011	6	6	0	100,00	6	0	100,00
KZSK	2010	13	10	3	76,92	10	3	76,92
LE	2019	1	1	0	100,00	1	0	100,00
LE	2018	19	15	4	78,95	14	5	73,68
LE	2017	36	36	0	100,00	36	0	100,00
LE	2016	50	47	3	94,00	47	3	94,00
LE	2015	47	45	2	95,74	45	2	95,74
LE	2014	43	38	5	88,37	38	5	88,37
LE	2013	60	52	8	86,67	52	8	86,67
LE	2012	39	34	5	87,18	32	7	82,05
LE	2011	41	38	3	92,68	36	5	87,80
LE	2010	98	91	7	92,86	91	7	92,86
LEA	2018	2	2	0	100,00	1	1	50,00
LEA	2017	8	8	0	100,00	8	0	100,00
LEA	2016	8	8	0	100,00	8	0	100,00
LEA	2015	8	8	0	100,00	8	0	100,00
LEA	2014	8	6	2	75,00	6	2	75,00
LEA	2013	9	9	0	100,00	9	0	100,00
LEA	2012	9	9	0	100,00	9	0	100,00
LEA	2011	10	10	0	100,00	10	0	100,00
LEA	2010	19	19	0	100,00	19	0	100,00
LEB	2017	2	2	0	100,00	2	0	100,00
LEB	2016	1	1	0	100,00	1	0	100,00
LEB	2015	2	2	0	100,00	2	0	100,00
LEB	2013	5	2	3	40,00	2	3	40,00
LEB	2012	1	1	0	100,00	1	0	100,00
LEB	2011	3	3	0	100,00	3	0	100,00
LEB	2010	3	3	0	100,00	3	0	100,00
LEC	2017	1	1	0	100,00	1	0	100,00
LEC	2016	1	1	0	100,00	1	0	100,00
LEC	2015	2	2	0	100,00	2	0	100,00
LEC	2014	1	1	0	100,00	1	0	100,00
LEC	2013	1	1	0	100,00	1	0	100,00
LEC	2012	1	1	0	100,00	1	0	100,00
LEC	2011	1	1	0	100,00	1	0	100,00
LEC	2010	6	6	0	100,00	6	0	100,00
LED	2019	1	1	0	100,00	1	0	100,00
LED	2015	2	2	0	100,00	2	0	100,00
LED	2014	1	1	0	100,00	1	0	100,00
LED	2013	1	1	0	100,00	1	0	100,00
LED	2012	3	3	0	100,00	3	0	100,00
LED	2010	4	4	0	100,00	4	0	100,00
LEE	2017	1	1	0	100,00	1	0	100,00
LEE	2012	1	1	0	100,00	0	1	0,00
LEE	2010	1	1	0	100,00	1	0	100,00
LEF	2018	8	5	3	62,50	5	3	62,50
LEF	2017	6	6	0	100,00	6	0	100,00
LEF	2016	8	6	2	75,00	6	2	75,00
LEF	2015	10	10	0	100,00	10	0	100,00
LEF	2014	6	6	0	100,00	6	0	100,00
LEF	2013	9	9	0	100,00	9	0	100,00
LEF	2012	5	4	1	80,00	4	1	80,00
LEF	2011	10	7	3	70,00	6	4	60,00
LEF	2010	13	11	2	84,62	11	2	84,62
LEG	2018	1	1	0	100,00	1	0	100,00
LEG	2015	3	2	1	66,67	2	1	66,67
LEG	2013	1	0	1	0,00	0	1	0,00
LEG	2011	1	1	0	100,00	1	0	100,00
LEH	2016	1	1	0	100,00	1	0	100,00
LEH	2015	1	1	0	100,00	1	0	100,00
LEH	2014	1	1	0	100,00	1	0	100,00
LEH	2013	2	2	0	100,00	2	0	100,00
LEH	2011	1	1	0	100,00	1	0	100,00
LEH	2010	2	2	0	100,00	2	0	100,00
LEJ	2016	3	3	0	100,00	3	0	100,00
LEJ	2014	2	2	0	100,00	2	0	100,00
LEJ	2013	2	2	0	100,00	2	0	100,00
LEJ	2012	1	1	0	100,00	1	0	100,00
LEJ	2011	2	2	0	100,00	2	0	100,00
LEJ	2010	7	5	2	71,43	5	2	71,43
LEK	2018	1	1	0	100,00	1	0	100,00
LEK	2016	1	1	0	100,00	1	0	100,00
LEK	2015	3	3	0	100,00	3	0	100,00
LEK	2012	1	0	1	0,00	0	1	0,00
LEK	2011	1	1	0	100,00	1	0	100,00
LEK	2010	5	5	0	100,00	5	0	100,00
LEL	2018	4	4	0	100,00	4	0	100,00
LEL	2017	11	11	0	100,00	11	0	100,00
LEL	2016	14	13	1	92,86	13	1	92,86
LEL	2015	9	9	0	100,00	9	0	100,00
LEL	2014	14	12	2	85,71	12	2	85,71
LEL	2013	15	14	1	93,33	14	1	93,33
LEL	2012	9	7	2	77,78	6	3	66,67
LEL	2011	4	4	0	100,00	3	1	75,00
LEL	2010	20	19	1	95,00	19	1	95,00
LEN	2018	1	0	1	0,00	0	1	0,00
LEN	2017	1	1	0	100,00	1	0	100,00
LEN	2011	1	1	0	100,00	1	0	100,00
LEN	2010	2	2	0	100,00	2	0	100,00
LEO	2018	1	1	0	100,00	1	0	100,00
LEO	2017	1	1	0	100,00	1	0	100,00
LEO	2016	6	6	0	100,00	6	0	100,00
LEO	2015	1	1	0	100,00	1	0	100,00
LEO	2014	2	2	0	100,00	2	0	100,00
LEO	2013	2	2	0	100,00	2	0	100,00
LEO	2012	3	3	0	100,00	3	0	100,00
LEO	2011	1	1	0	100,00	1	0	100,00
LEO	2010	8	8	0	100,00	8	0	100,00
LEP	2018	1	1	0	100,00	1	0	100,00
LEP	2016	3	3	0	100,00	3	0	100,00
LEP	2013	2	2	0	100,00	2	0	100,00
LEP	2011	1	1	0	100,00	1	0	100,00
LEP	2010	2	2	0	100,00	2	0	100,00
LEQ	2016	3	3	0	100,00	3	0	100,00
LEQ	2015	4	4	0	100,00	4	0	100,00
LEQ	2014	4	4	0	100,00	4	0	100,00
LEQ	2013	5	5	0	100,00	5	0	100,00
LEQ	2012	3	3	0	100,00	3	0	100,00
LEQ	2011	3	3	0	100,00	3	0	100,00
LEQ	2010	4	2	2	50,00	2	2	50,00
LER	2017	3	3	0	100,00	3	0	100,00
LER	2016	1	1	0	100,00	1	0	100,00
LER	2015	1	1	0	100,00	1	0	100,00
LER	2014	3	2	1	66,67	2	1	66,67
LER	2013	5	2	3	40,00	2	3	40,00
LER	2012	2	1	1	50,00	1	1	50,00
LER	2011	1	1	0	100,00	1	0	100,00
LEV	2017	1	1	0	100,00	1	0	100,00
LEV	2014	1	1	0	100,00	1	0	100,00
LEV	2010	2	2	0	100,00	2	0	100,00
LEW	2013	1	1	0	100,00	1	0	100,00
LEX	2017	1	1	0	100,00	1	0	100,00
LEX	2015	1	0	1	0,00	0	1	0,00
LEX	2011	1	1	0	100,00	1	0	100,00
MU	2019	1	1	0	100,00	1	0	100,00
MU	2018	52	41	11	78,85	40	12	76,92
MU	2017	71	52	19	73,24	52	19	73,24
MU	2016	96	64	32	66,67	62	34	64,58
MU	2015	99	63	36	63,64	60	39	60,61
MU	2014	134	79	55	58,96	79	55	58,96
MU	2013	141	94	47	66,67	91	50	64,54
MU	2012	161	85	76	52,80	84	77	52,17
MU	2011	148	92	56	62,16	91	57	61,49
MU	2010	157	103	54	65,61	99	58	63,06
MUA	2016	1	1	0	100,00	1	0	100,00
MUA	2015	4	4	0	100,00	4	0	100,00
MUA	2014	5	3	2	60,00	3	2	60,00
MUA	2013	3	1	2	33,33	1	2	33,33
MUA	2012	10	3	7	30,00	3	7	30,00
MUA	2011	2	2	0	100,00	2	0	100,00
MUA	2010	5	1	4	20,00	1	4	20,00
MUB	2018	2	2	0	100,00	2	0	100,00
MUB	2017	2	2	0	100,00	2	0	100,00
MUB	2016	1	1	0	100,00	1	0	100,00
MUB	2015	3	3	0	100,00	3	0	100,00
MUB	2014	3	3	0	100,00	3	0	100,00
MUB	2013	1	1	0	100,00	1	0	100,00
MUB	2012	1	1	0	100,00	1	0	100,00
MUB	2011	4	4	0	100,00	4	0	100,00
MUB	2010	4	4	0	100,00	4	0	100,00
MUD	2018	1	1	0	100,00	1	0	100,00
MUD	2015	4	4	0	100,00	4	0	100,00
MUD	2014	1	1	0	100,00	1	0	100,00
MUD	2013	4	4	0	100,00	4	0	100,00
MUD	2012	1	1	0	100,00	1	0	100,00
MUE	2018	5	3	2	60,00	2	3	40,00
MUE	2017	3	3	0	100,00	3	0	100,00
MUE	2016	10	10	0	100,00	9	1	90,00
MUE	2015	2	2	0	100,00	2	0	100,00
MUE	2014	4	4	0	100,00	4	0	100,00
